Data Paper,Research Paper,Dauthors,Rauthors,Dnumber,Rnumber,Discipline,Subjects,RBO,Jaccard,LevenshteinDistance,LevenshteinRatio
﻿10.1016/j.dib.2019.104570,S0531556519301706,"['Brown, Lemuel A.', 'Judge, Jennifer L.', 'Macpherson, Peter C.', 'Koch, Lauren G.', 'Qi, Nathan R.', 'Britton, Steven L.', 'Brooks, Susan V.']","['Brown, Lemuel A.', 'Macpherson, Peter C.', 'Koch, Lauren G.', 'Qi, Nathan R.', 'Britton, Steven L.', 'Brooks, Susan V.']",7,6,"Biochemistry, Genetics and Molecular Biology",Biological sciences,0.806224222,0.142857143,1,0.923076923
10.1016/j.dib.2016.03.011,S0032386116300544,"['Zhao, Yue', 'Yoshida, Miru', 'Oshima, Tatsuya', 'Koizumi, Satoshi', 'Rikukawa, Masahiro', 'Szekely, Noemi', 'Radulescu, Aurel', 'Richter, Dieter']","['Zhao, Yue', 'Yoshida, Miru', 'Oshima, Tatsuya', 'Koizumi, Satoshi', 'Rikukawa, Masahiro', 'Szekely, Noemi', 'Radulescu, Aurel', 'Richter, Dieter']",8,8,Materials Sciences,Engineering,1,0,0,1
10.1016/j.dib.2019.104216,S0732312318300774,"['Norqvist, Mathias', 'Jonsson, Bert', 'Lithner, Johan']","['Norqvist, Mathias', 'Jonsson, Bert', 'Lithner, Johan', 'Qwillbard, Tony', 'Holm, Linus']",3,5,Mathematics,Computer & Mathematical sciences,0.970967742,0,2,0.75
10.1016/j.dib.2018.04.128,S0164070416302270,"['Zhang, Lini']","['Zhang, Lini']",1,1,"Economics, Econometrics and Finance",Social sciences & Humanities,1,0,0,1
10.1016/j.dib.2017.07.049,S1053811917305050,"['Koush, Yury', 'Ashburner, John', 'Prilepin, Evgeny', 'Sladky, Ronald', 'Zeidman, Peter', 'Bibikov, Sergei', 'Scharnowski, Frank', 'Nikonorov, Artem', 'Van De Ville, Dimitri']","['Koush, Yury', 'Ashburner, John', 'Prilepin, Evgeny', 'Sladky, Ronald', 'Zeidman, Peter', 'Bibikov, Sergei', 'Scharnowski, Frank', 'Nikonorov, Artem', 'De Ville, Dimitri Van']",9,9,Neurosciences,Medical sciences,1,0,1,0.888888889
10.1016/j.dib.2016.03.005,S0091743516000244,"['Barboza, Gia Elise', 'Dominguez, Silvia']","['Barboza, Gia Elise', 'Dominguez, Silvia']",2,2,Social Sciences,Social sciences & Humanities,1,0,0,1
10.1016/j.dib.2019.104202,S0023643819302695,"['Rodriguez Gamboa, Juan C.', 'Albarracin E., Eva Susana', 'Da Silva, Adenilton J.', 'E. Ferreira, Tiago A.']","['Rodriguez Gamboa, Juan C.', 'Albarracin E, Eva Susana', 'Da Silva, Adenilton J.', 'L. De Andrade Lima, Luciana', 'E. Ferreira, Tiago A.']",4,5,Computer Science,Computer & Mathematical sciences,0.977419355,0,2,0.666666667
10.1016/j.dib.2018.11.079,S0001457518303373,"['Nazif-Muñoz, José Ignacio', 'Nandi, Arijit', 'Ruiz-Casares, Mónica']","['Ignacio Nazif-Muñoz, José', 'Nandi, Arijit', 'Ruiz-Casares, Mónica']",3,3,Social Sciences,Social sciences & Humanities,1,0,1,0.666666667
10.1016/j.dib.2018.09.123,S136970211830302X,"['He, Liangrui', 'Fei, Mi', 'Chen, Jie', 'Tian, Yunfei', 'Jiang, Yang', 'Huang, Yang', 'Xu, Kai', 'Hu, Juntao', 'Zhang, Qiuhong', 'Ni, Haiyong', 'Chen, Lei', 'Zhao, Zhi']","['He, Liangrui', 'Fei, Mi', 'Chen, Jie', 'Tian, Yunfei', 'Jiang, Yang', 'Huang, Yang', 'Xu, Kai', 'Hu, Juntao', 'Zhang, Qiuhong', 'Ni, Haiyong', 'Chen, Lei', 'Zhao, Zhi']",12,12,Chemistry,Physics & Chemistry,1,0,0,1
10.1016/j.dib.2015.09.040,S088875431530032X,"['Rahman, Aminur', 'Nahar, Noor', 'Nawani, Neelu N.', 'Jass, Jana', 'Ghosh, Sibdas', 'Olsson, Björn', 'Mandal, Abul']","['Rahman, Aminur', 'Nahar, Noor', 'Nawani, Neelu N.', 'Jass, Jana', 'Ghosh, Sibdas', 'Olsson, Björn', 'Mandal, Abul']",7,7,"Biochemistry, Genetics and Molecular Biology",Biological sciences,1,0,0,1
10.1016/j.dib.2017.07.061,S1369847816306556,"['Carbon, Claus-Christian', 'Gebauer, Fabian']","['Carbon, Claus-Christian', 'Gebauer, Fabian']",2,2,Environmental Sciences,Geosciences,1,0,0,1
10.1016/j.dib.2018.04.114,S0014480017306020,"['Lüsebrink, Jessica', 'Pieper, Monika', 'Tillmann, Ramona-Liza', 'Brockmann, Michael', 'Schildgen, Oliver', 'Schildgen, Verena']","['Lüsebrink, Jessica', 'Pieper, Monika', 'Tillmann, Ramona-Liza', 'Brockmann, Michael', 'Schildgen, Oliver', 'Schildgen, Verena']",6,6,"Pharmacology, Toxicology and Pharmaceutical Science",Medical sciences,1,0,0,1
